Predicted_Label,Text
"('anjir sekelas aplikasi polri aja synchronize otp yg dia kasih sendiri aja error, lah elu yg ngasih masa semua alertnya kode salah anjir emosi banget lebih gampang daftar website online yg bertebaran dimana2', '1')","anjir sekelas aplikasi polri aja synchronize otp yg dia kasih sendiri aja error, lah elu yg ngasih masa semua alertnya kode salah anjir emosi banget lebih gampang daftar website online yg bertebaran dimana2"
"(""P.S. the website at the end of the video gives you an SSL error currently, but it's not quite ready to be live yet anyway... next couple days it'll be up with no error."", '1')","P.S. the website at the end of the video gives you an SSL error currently, but it's not quite ready to be live yet anyway... next couple days it'll be up with no error."
"('@WHD_DOL @USEEOC @WB_DOL @OSHA_DOL The registration process on the website is broken. When the form is completed it says 1 error. It says to enter year as a four digit number. The form does not show anywhere that a year can be entered. https://t.co/9i76FeNihd', '1')",@WHD_DOL @USEEOC @WB_DOL @OSHA_DOL The registration process on the website is broken. When the form is completed it says 1 error. It says to enter year as a four digit number. The form does not show anywhere that a year can be entered. https://t.co/9i76FeNihd
"('One of the Worst Application Services is \r\n@IRCTCofficial\r\n.\r\nIndia is moving forward to 5G Technology Still the Server is getting Error.\r\nThen what is the purpose of These Technologies.\r\nThey will debit the money tickets will not be booked.', '1')","One of the Worst Application Services is 
@IRCTCofficial
.
India is moving forward to 5G Technology Still the Server is getting Error.
Then what is the purpose of These Technologies.
They will debit the money tickets will not be booked."
"('I know, I was explaining the joke.\r\nAfter 16 days, They finally fixed the game in a playable state (I hope everyone can play it now) \r\nMatchmaking seems fixed and no error and queue is possibly gone because they capped the server to 700k\r\nHopefully we can still play on the weekend.', '0')","I know, I was explaining the joke.
After 16 days, They finally fixed the game in a playable state (I hope everyone can play it now) 
Matchmaking seems fixed and no error and queue is possibly gone because they capped the server to 700k
Hopefully we can still play on the weekend."
"('Im a newbie in seafile.I install seafile on my nas server by manual. Every thing is OK but when I want to login to web interface by administrator account I get this error Failed to login org.springframework.jdbc.Bad', '1')",Im a newbie in seafile.I install seafile on my nas server by manual. Every thing is OK but when I want to login to web interface by administrator account I get this error Failed to login org.springframework.jdbc.Bad
"('My Windows 10 desktop with the new Windows Server 2025 wallpaper (2/23/2024)', '0')",My Windows 10 desktop with the new Windows Server 2025 wallpaper (2/23/2024)
"('@TXsecofstate\r\n Early Voting Turnout page seems to be down tonight. Anyone else seeing the 500 - Internal Server Error? \r\n@longhornderek', '1')","@TXsecofstate
 Early Voting Turnout page seems to be down tonight. Anyone else seeing the 500 - Internal Server Error? 
@longhornderek"
"('@Twitch\r\n \r\n@TwitchSupport\r\n Trying to signup but unable to do so due to some error from the server side. Can you please look into?', '1')","@Twitch
 
@TwitchSupport
 Trying to signup but unable to do so due to some error from the server side. Can you please look into?"
"(""Sorry for the inconveniences \r\n@yajllewor\r\n - this is an error message when the network lost the connection to the server. It's getting better now!"", '0')","Sorry for the inconveniences 
@yajllewor
 - this is an error message when the network lost the connection to the server. It's getting better now!"
"('Its a discord error you cant host images thru them anymore like i can get this done easy but its just the task of moving everything from my server to a different image hosting site and then reuploading the links', '1')",Its a discord error you cant host images thru them anymore like i can get this done easy but its just the task of moving everything from my server to a different image hosting site and then reuploading the links
"('and people say javascript shouldnt be on the server... 0.01% error rate in the last year.', '0')",and people say javascript shouldnt be on the server... 0.01% error rate in the last year.
